ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,label
67,59,55,54,55,53,62,66,52,69,71,61,51,65,53,56,1
58,57,54,58,60,54,66,69,59,67,70,63,50,65,50,60,1
62,58,60,53,68,57,73,70,58,65,70,58,56,56,45,62,1
54,55,60,56,70,57,67,65,59,67,71,52,53,52,49,61,1
55,55,57,55,67,57,58,61,57,65,73,48,47,49,52,61,1
49,60,50,58,69,48,61,65,58,67,70,46,43,50,53,62,1
53,62,55,55,64,48,64,73,58,71,70,49,45,50,52,62,1
54,60,60,55,62,52,60,74,54,76,60,49,53,51,51,54,1
54,64,48,45,51,53,66,71,63,77,62,47,51,51,55,63,1
53,61,50,48,59,62,61,65,61,76,68,52,54,55,55,64,1
58,58,54,46,62,64,60,74,60,78,60,60,54,56,56,52,1
50,55,53,44,62,67,58,81,55,76,58,62,60,57,56,56,1
58,54,56,44,60,56,63,83,53,79,48,60,56,54,56,59,1
56,53,56,50,60,55,63,75,49,77,53,57,51,53,54,65,1
59,47,58,55,69,50,62,70,49,71,50,57,49,55,57,65,1
54,51,58,58,68,52,61,75,57,68,55,55,46,55,58,61,1
54,58,54,56,70,54,67,80,66,72,54,52,58,52,55,58,1
55,66,47,53,59,59,64,69,72,77,60,49,60,55,49,58,1
54,62,43,48,56,56,62,62,64,74,59,46,60,53,49,58,1
